,Token,N_Ocorrencia,Length
335,play,6,4
336,mutini,1,6
337,side,2,4
338,noticili,1,8
339,industri,1,8
340,melodi,1,6
341,stephano,2,8
342,tread,1,5
343,pretti,1,6
344,high,8,4
345,trembl,1,6
346,taen,2,4
347,thaisa,1,6
348,trinculo,3,8
349,sonend,1,6
350,grey,2,4
351,twelvemonth,1,11
352,butcher,1,7
353,imogen,3,6
354,pleaseth,1,8
355,protector,1,9
356,parti,6,5
357,whose,19,5
358,win,1,3
359,twas,3,4
360,bertram,3,7
361,chain,3,5
362,harmoni,1,7
363,sack,1,4
364,banquo,2,6
365,phoetician,1,10
366,fableservic,1,11
367,disposit,1,8
368,asugn,1,5
369,form,1,4
370,upon,33,4
371,juno,1,4
372,instant,1,7
373,sunday,1,6
374,husband,19,7
375,us,2,2
376,chose,1,5
377,fiend,1,5
378,camest,1,6
379,infus,1,5
380,orland,1,6
381,injuri,3,6
382,vast,1,4
383,fled,3,4
384,amiti,1,5
385,snall,1,5
386,gambon,1,6
387,grave,3,5
388,salt,1,4
389,undirect,1,8
390,undernear,1,9
391,bulli,1,5
392,singular,1,8
393,volumnia,2,8
394,befeen,1,6
395,fie,3,3
396,sose,1,4
397,cotmus,1,6
398,imagin,1,6
399,petti,1,5
400,agent,1,5
401,took,6,4
402,yield,2,5
403,dunghil,1,7
404,conslip,1,7
405,cinna,2,5
406,hurt,1,4
407,doubtless,1,9
408,humphrey,2,8
409,provok,1,6
410,claim,1,5
411,jolt,1,4
412,uncalld,1,7
413,aumerl,2,6
414,astempt,1,7
415,transgorm,1,9
416,sleepi,1,6
417,coat,2,4
418,abhorrd,1,7
419,short,5,5
420,throic,1,6
421,remov,1,5
422,middl,1,5
423,thorough,1,8
424,faction,1,7
425,just,1,4
426,oclock,1,6
427,descript,2,8
428,commit,1,6
429,drows,1,5
430,drum,2,4
431,sit,9,3
432,inclin,1,6
433,herd,1,4
434,taodless,1,8
435,remors,1,6
436,battl,2,5
437,addit,1,5
438,cassio,2,6
439,fling,1,5
440,durish,1,6
441,toild,1,5
442,debtor,1,6
443,fellow,17,6
444,moment,2,6
445,debour,1,6
446,seemd,1,5
447,nether,1,6
448,seem,15,4
449,secret,2,6
450,kneel,2,5
451,compani,3,7
452,whet,1,4
453,bend,2,4
454,bad,3,3
455,coriolanus,8,10
456,gracious,4,8
457,merri,3,5
458,rid,1,3
459,tybalt,1,6
460,river,1,5
461,leisur,2,6
462,interpret,1,9
463,departur,1,8
464,nake,1,4
465,submiss,1,7
466,fown,1,4
467,contrari,1,8
468,smock,1,5
469,separ,1,5
470,overpreseld,1,11
471,diet,1,4
472,entertaind,1,10
473,shrift,1,6
474,warwick,5,7
475,undoublet,1,9
476,elderkin,1,8
477,disfair,1,7
478,imperi,1,6
479,worm,1,4
480,frond,1,5
481,bow,1,3
482,washd,1,5
483,abus,3,4
484,habit,2,5
485,grazm,1,5
486,ephesus,1,7
487,cri,6,3
488,varro,1,5
489,lysand,1,6
490,amongst,1,7
491,contriv,1,7
492,trifl,3,5
493,chaft,1,5
494,swain,1,5
495,pawn,1,4
496,cowardi,1,7
497,rape,1,4
498,temper,1,6
499,man,43,3
500,conceiv,1,7
501,tost,1,4
502,opinion,4,7
503,dissentur,1,9
504,summer,1,6
505,cassius,13,7
506,distract,2,8
507,avoid,2,5
508,assembl,1,7
509,unrock,1,6
510,earli,2,5
511,robe,1,4
512,thing,17,5
513,dish,3,4
514,norfolk,9,7
515,falstaff,8,8
516,poin,1,4
517,couchd,1,6
518,wageri,1,6
519,drawn,1,5
520,prescript,1,9
521,penalti,2,7
522,work,3,4
523,partner,1,7
524,belarius,1,8
525,cybbelin,1,8
526,swearst,1,7
527,sooner,4,6
528,prayd,1,5
529,fatenot,1,7
530,charg,7,5
531,armd,1,4
532,tot,3,3
533,trup,1,4
534,gage,1,4
535,restrain,3,8
536,linger,1,6
537,round,1,5
538,betim,1,5
539,chamberlain,1,11
540,shameless,1,9
541,gilti,1,5
542,liar,1,4
543,beggd,4,5
544,nobleman,1,8
545,sure,4,4
546,slip,1,4
547,servingman,6,10
548,ceas,5,4
549,snaverd,1,7
550,field,6,5
551,shoe,1,4
552,bolingbrok,3,10
553,turnd,1,5
554,selld,1,5
555,pent,1,4
556,hemn,1,4
557,crimon,1,6
558,raf,1,3
559,current,1,7
560,scotland,1,8
