,Token,N_Ocorrencia,Length
334,paint,2,5
335,wheat,2,5
336,friar,1,5
337,likewis,1,7
338,armado,1,6
339,play,6,4
340,mutini,1,6
341,side,2,4
342,noticili,1,8
343,industri,1,8
344,melodi,1,6
345,stephano,2,8
346,tread,1,5
347,pretti,1,6
348,high,8,4
349,trembl,1,6
350,taen,2,4
351,thaisa,1,6
352,trinculo,3,8
353,sonend,1,6
354,grey,2,4
355,twelvemonth,1,11
356,butcher,1,7
357,imogen,3,6
358,pleaseth,1,8
359,protector,1,9
360,parti,6,5
361,whose,19,5
362,win,1,3
363,bertram,3,7
364,chain,3,5
365,harmoni,1,7
366,sack,1,4
367,banquo,2,6
368,phoetician,1,10
369,fableservic,1,11
370,disposit,1,8
371,inkli,1,5
372,asugn,1,5
373,form,1,4
374,upon,33,4
375,juno,1,4
376,instant,1,7
377,sunday,1,6
378,husband,19,7
379,us,2,2
380,chose,1,5
381,fiend,1,5
382,camest,1,6
383,infus,1,5
384,orland,1,6
385,injuri,3,6
386,vast,1,4
387,claudiu,3,7
388,fled,3,4
389,amiti,1,5
390,snall,1,5
391,gambon,1,6
392,grave,3,5
393,salt,1,4
394,undirect,1,8
395,undernear,1,9
396,bulli,1,5
397,singular,1,8
398,volumnia,2,8
399,inli,1,4
400,befeen,1,6
401,wondrou,1,7
402,fie,3,3
403,sose,1,4
404,cotmus,1,6
405,imagin,1,6
406,petti,1,5
407,agent,1,5
408,took,6,4
409,yield,2,5
410,dunghil,1,7
411,conslip,1,7
412,cinna,2,5
413,hurt,1,4
414,doubtless,1,9
415,humphrey,2,8
416,provok,1,6
417,claim,1,5
418,jolt,1,4
419,gener,5,5
420,uncalld,1,7
421,aumerl,2,6
422,astempt,1,7
423,transgorm,1,9
424,sleepi,1,6
425,coat,2,4
426,abhorrd,1,7
427,short,4,5
428,throic,1,6
429,remov,1,5
430,middl,1,5
431,thorough,1,8
432,faction,1,7
433,oclock,1,6
434,descript,2,8
435,commit,1,6
436,drows,1,5
437,equiniu,1,7
438,drum,2,4
439,sit,9,3
440,inclin,1,6
441,herd,1,4
442,taodless,1,8
443,remors,1,6
444,battl,2,5
445,addit,1,5
446,cassio,2,6
447,fling,1,5
448,durish,1,6
449,toild,1,5
450,debtor,1,6
451,fellow,17,6
452,moment,2,6
453,debour,1,6
454,seemd,1,5
455,nether,1,6
456,seem,15,4
457,secret,2,6
458,kneel,2,5
459,compani,3,7
460,whet,1,4
461,bend,2,4
462,bad,3,3
463,gracious,1,8
464,merri,3,5
465,rid,1,3
466,tybalt,1,6
467,river,1,5
468,leisur,2,6
469,interpret,1,9
470,departur,1,8
471,nake,1,4
472,submiss,1,7
473,fown,1,4
474,contrari,1,8
475,smock,1,5
476,separ,1,5
477,overpreseld,1,11
478,diet,1,4
479,entertaind,1,10
480,shrift,1,6
481,warwick,5,7
482,undoublet,1,9
483,elderkin,1,8
484,disfair,1,7
485,imperi,1,6
486,worm,1,4
487,frond,1,5
488,bow,1,3
489,washd,1,5
490,abus,3,4
491,partli,1,6
492,habit,2,5
493,grazm,1,5
494,cri,6,3
495,varro,1,5
496,lysand,1,6
497,amongst,1,7
498,contriv,1,7
499,trifl,3,5
500,chaft,1,5
501,swain,1,5
502,pawn,1,4
503,cowardi,1,7
504,rape,1,4
505,temper,1,6
506,man,43,3
507,conceiv,1,7
508,tost,1,4
509,opinion,4,7
510,dissentur,1,9
511,summer,1,6
512,distract,2,8
513,avoid,2,5
514,assembl,1,7
515,unrock,1,6
516,earli,2,5
517,robe,1,4
518,thing,17,5
519,lightli,1,7
520,dish,3,4
521,norfolk,9,7
522,falstaff,8,8
523,poin,1,4
524,couchd,1,6
525,wageri,1,6
526,drawn,1,5
527,prescript,1,9
528,penalti,2,7
529,work,3,4
530,partner,1,7
531,demetriu,2,8
532,cybbelin,1,8
533,swearst,1,7
534,sooner,4,6
535,prayd,1,5
536,fatenot,1,7
537,charg,7,5
538,armd,1,4
539,tot,3,3
540,trup,1,4
541,gage,1,4
542,restrain,3,8
543,linger,1,6
544,round,1,5
545,betim,1,5
546,chamberlain,1,11
547,shameless,1,9
548,gilti,1,5
549,liar,1,4
550,beggd,4,5
551,nobleman,1,8
552,sure,4,4
553,slip,1,4
554,servingman,6,10
555,ceas,5,4
556,snaverd,1,7
557,field,6,5
558,shoe,1,4
559,bolingbrok,3,10
560,turnd,1,5
561,selld,1,5
562,pent,1,4
563,hemn,1,4
564,crimon,1,6
565,raf,1,3
566,current,1,7
567,scotland,1,8
568,countess,4,8
569,performd,4,8
570,firm,1,4
571,civil,2,5
572,todi,1,4
573,hat,1,3
574,audit,1,5
575,euphin,1,6
576,filthi,1,6
577,ariel,1,5
578,coupl,1,5
579,jealous,1,7
580,best,6,4
581,inde,8,4
582,truft,1,5
583,talbot,9,6
584,estiff,1,6
585,dot,2,3
586,unless,4,6
587,wrought,3,7
588,tetl,1,4
589,lament,4,6
590,steel,3,5
591,determin,2,8
592,cuttanc,1,7
593,obsurd,1,6
594,afford,1,6
595,outsag,1,6
596,oberon,1,6
597,pice,1,4
598,untel,1,5
599,shine,2,5
600,despis,3,6
601,bring,11,5
602,beam,1,4
603,lear,7,4
604,doubl,2,5
605,forfirm,1,7
606,plot,2,4
607,smwell,1,6
608,tilt,1,4
609,york,17,4
610,suppli,1,6
611,lichard,1,7
612,milan,1,5
613,fement,1,6
614,iwar,1,4
615,acid,1,4
616,satisfi,2,7
617,nhambl,1,6
618,what,3,4
619,bitter,2,6
620,hung,2,4
621,tailor,1,6
622,pa,2,2
623,doe,1,3
624,benedick,2,8
625,knife,1,5
626,ampl,1,4
627,parent,1,6
628,ha,6,2
629,giddi,2,5
630,brawl,1,5
631,copperd,1,7
632,vexd,1,4
633,joint,1,5
634,dissembl,1,8
635,bone,1,4
636,wild,1,4
637,losta,1,5
638,mother,10,6
639,straight,7,8
640,long,7,4
641,step,1,4
642,eloqu,1,5
643,polici,1,6
644,weeder,1,6
645,sail,1,4
646,vantag,1,6
647,contain,1,7
648,patient,3,7
649,assur,2,5
650,monarch,1,7
651,guistur,1,7
652,displac,1,7
653,list,1,4
654,rest,5,4
655,accord,1,6
656,isemoni,1,7
657,rememberd,1,9
658,estim,1,5
659,born,9,4
660,space,2,5
661,morn,1,4
662,hors,6,4
663,shortli,1,7
664,lord,90,4
665,argument,1,8
666,star,5,4
667,choos,1,5
668,dota,1,4
669,soothsay,1,8
670,reason,8,6
671,proclam,1,7
672,prophet,1,7
673,life,23,4
674,eless,1,5
675,name,18,4
676,orlando,1,7
677,perishd,1,7
678,stoppd,1,6
679,nickli,1,6
680,pant,1,4
681,innoc,3,5
682,thunder,1,7
683,sorrow,4,6
684,nod,1,3
685,citi,8,4
686,tell,28,4
687,action,6,6
688,melt,3,4
689,fetch,1,5
690,say,48,3
691,emilia,6,6
692,noth,6,4
693,ennear,1,6
694,stabbd,1,6
695,mark,14,4
696,bastard,3,7
697,torcher,1,7
698,even,19,4
699,prove,11,5
700,angri,3,5
701,troubl,1,6
702,justli,1,6
703,game,1,4
704,loll,1,4
705,pirat,2,5
706,suitor,1,6
707,packet,1,6
708,milford,1,7
709,woo,1,3
710,toad,1,4
711,confus,1,6
712,approach,1,8
713,conflunct,1,9
714,capon,1,5
715,intapercaval,1,12
716,garment,1,7
717,bowl,1,4
718,black,3,5
719,shake,4,5
720,fare,2,4
721,voic,3,4
722,head,21,4
723,seenst,1,6
724,likey,1,5
725,portial,1,7
726,unwel,1,5
727,prize,1,5
728,shouldst,4,8
729,conveni,1,7
730,fire,7,4
731,walrer,1,6
732,dearerstal,1,10
733,banishd,2,7
734,yet,31,3
735,said,10,4
736,loyalti,1,7
737,rather,10,6
738,drive,2,5
739,air,7,3
740,deliv,6,5
741,buy,2,3
742,light,5,5
743,favour,2,6
744,achil,2,5
745,absolut,1,7
746,destruct,1,8
747,earth,8,5
748,host,3,4
749,wellmet,1,7
750,part,17,4
751,meek,1,4
752,either,3,6
753,knoplesoldi,1,11
754,wisdom,2,6
755,perdut,1,6
756,might,15,5
757,vengeanc,2,8
758,sort,1,4
759,bodi,8,4
760,tast,4,4
761,folli,2,5
762,slire,1,5
763,fruit,1,5
764,pay,4,3
765,hasti,1,5
766,glumber,1,7
767,bohemia,1,7
768,tale,3,4
769,drunken,1,7
770,slaver,1,6
771,widow,3,5
772,bridal,1,6
773,impeopl,1,7
774,katharina,1,9
775,princ,15,5
776,brutu,21,5
777,adversaryday,1,12
778,futur,1,5
779,pun,1,3
780,aunt,2,4
781,cloak,1,5
782,glim,1,4
783,sternli,1,7
784,heat,2,4
785,want,2,4
786,familiar,2,8
787,hospish,1,7
788,speak,32,5
789,medri,1,5
790,ravenshead,1,10
791,taze,1,4
792,fever,2,5
793,sever,7,5
794,ild,1,3
795,infurnish,1,9
796,guiltless,1,9
797,madder,1,6
798,cap,1,3
799,good,73,4
800,though,15,6
801,whereof,1,7
802,foot,6,4
803,scing,1,5
804,dpunishd,1,8
805,letter,7,6
806,sworn,2,5
807,studi,2,5
808,ender,1,5
809,custom,2,6
810,ducat,1,5
811,sometim,4,7
812,honesti,2,7
813,shown,1,5
814,proteu,1,6
815,potent,2,6
816,dionyza,1,7
817,thousand,5,8
818,hatch,1,5
819,motiv,1,5
820,death,25,5
821,strict,1,6
822,profan,2,6
823,heav,1,4
824,music,3,5
825,blow,2,4
826,highest,1,7
827,dread,1,5
828,loyal,3,5
829,basket,2,6
830,outward,2,7
831,confid,2,6
832,voicehi,1,7
833,seeth,1,5
834,sport,6,5
835,lethu,1,5
836,ground,15,6
837,tuke,1,4
838,sweetlik,1,8
839,arous,1,5
840,commend,3,7
841,seat,4,4
842,marciu,2,6
843,yare,1,4
844,tram,1,4
845,piec,4,4
846,gentl,7,5
847,hunter,1,6
848,curs,2,4
849,lie,14,3
850,mortal,1,6
851,wash,2,4
852,countenanc,1,10
853,fairnak,1,7
854,brimfib,1,7
855,wilt,6,4
856,sockcriff,1,9
857,courtfrail,1,10
858,doubt,4,5
859,lieuten,1,7
860,blush,2,5
861,enamounc,1,8
862,view,2,4
863,diomed,1,6
864,trumpet,5,7
865,git,1,3
866,assist,1,6
867,forlorn,1,7
868,hairkil,1,7
869,patroclu,1,8
870,propar,1,6
871,fix,3,3
872,godli,1,5
873,audient,1,7
874,greater,3,7
875,april,1,5
876,oft,2,3
877,iago,7,4
878,disabl,1,6
879,autolycu,1,8
880,year,4,4
881,reverend,1,8
882,ferdinand,1,9
883,trust,4,5
884,alban,1,5
885,surveyor,1,8
886,obeyd,1,5
887,seek,2,4
888,heel,3,4
889,bed,9,3
890,saturnin,2,8
891,eas,1,3
892,royal,6,5
893,firmlyrot,1,9
894,scantat,1,7
895,cardin,2,6
896,chair,2,5
897,glori,2,5
898,beguil,3,6
899,flitteri,1,8
900,wert,2,4
901,weav,2,4
902,provost,4,7
903,load,1,4
904,abhorson,1,8
905,panish,1,6
906,gilt,1,4
907,senseless,1,9
908,alarum,1,6
909,profess,3,7
910,oword,1,5
911,titl,6,4
912,add,3,3
913,endur,1,5
914,stolen,1,6
915,chase,1,5
916,door,2,4
917,propos,2,6
918,marcu,2,5
919,detect,1,6
920,questiond,1,9
921,tree,2,4
922,murder,15,6
923,give,33,4
924,garland,1,7
925,bawdi,1,5
926,whip,1,4
927,vessel,1,6
928,incur,1,5
929,needst,2,6
930,gentli,1,6
931,duppd,1,5
932,hammer,1,6
933,untot,1,5
934,scourg,1,6
935,pompey,3,6
936,peer,7,4
937,pray,17,4
938,traverl,1,7
939,find,12,4
940,mood,2,4
941,expens,1,6
942,bare,2,4
943,treacheri,1,9
944,porter,1,6
945,poisond,1,7
946,within,5,6
947,viii,2,4
948,exclaim,1,7
949,desir,13,5
950,merili,1,6
951,wit,4,3
952,stuffd,1,6
953,epithe,1,6
954,corag,1,5
955,daili,1,5
956,next,2,4
957,dear,6,4
958,port,2,4
959,world,17,5
960,extempor,1,8
961,fail,2,4
962,precis,1,6
963,fill,1,4
964,daugla,1,6
965,joy,7,3
966,articl,1,6
967,stay,10,4
968,farther,1,7
969,everthrow,1,9
970,occas,2,5
971,marcellu,1,8
972,idl,1,3
973,choke,3,5
974,brain,3,5
975,sold,1,4
976,befal,1,5
977,ran,1,3
978,enforc,1,6
979,compexar,1,8
980,guess,1,5
981,wanton,3,6
982,charact,2,7
983,chreek,1,6
984,wape,1,4
985,lack,1,4
986,live,10,4
987,certainri,1,9
988,spring,2,6
989,modest,1,6
990,earthli,1,7
991,maletr,1,6
992,caesar,15,6
993,prevaild,1,8
994,baptista,1,8
995,rome,7,4
996,clother,1,7
997,fenc,2,4
998,solemn,4,6
999,stafford,2,8
1000,fast,3,4
1001,voac,1,4
1002,instruct,2,8
1003,stroke,4,6
1004,wholesom,1,8
1005,shower,2,6
1006,bedford,1,7
1007,brother,15,7
1008,lop,1,3
1009,followd,3,7
1010,slept,2,5
1011,brabbl,1,6
1012,thorn,2,5
1013,soldier,8,7
1014,flame,1,5
1015,tarri,2,5
1016,could,22,5
1017,jew,1,3
1018,torn,1,4
1019,spoke,2,5
1020,rosalin,2,7
1021,men,25,3
1022,ill,49,3
1023,scant,1,5
1024,fault,8,5
1025,thrown,1,6
1026,crownd,1,6
1027,observ,3,6
1028,steal,4,5
1029,malici,1,6
1030,bondl,1,5
1031,mamber,1,6
1032,torch,1,5
1033,fals,4,4
1034,get,3,3
1035,half,6,4
1036,mardi,1,5
1037,forehead,2,8
1038,unquiet,1,7
1039,gaunt,2,5
1040,gentleman,20,9
1041,monster,1,7
1042,valentin,6,8
1043,titanu,1,6
1044,maiden,3,6
1045,correct,3,7
1046,fent,1,4
1047,easest,1,6
1048,edward,2,6
1049,melancholi,1,10
1050,grace,23,5
1051,sir,67,3
1052,pipe,1,4
1053,portent,1,7
1054,repent,2,6
1055,amor,1,4
1056,style,1,5
1057,provid,4,6
1058,educ,1,4
1059,legion,1,6
1060,consumpt,1,8
1061,luggag,1,6
1062,nay,7,3
1063,oer,3,3
1064,valant,1,6
1065,midst,1,5
1066,sea,8,3
1067,chiron,1,6
1068,exceed,1,6
1069,vow,1,3
1070,bid,5,3
1071,tribun,2,6
1072,hugh,4,4
1073,oswald,2,6
1074,countli,1,7
1075,wear,10,4
1076,measur,5,6
1077,publicli,1,8
1078,belch,2,5
1079,pillow,1,6
1080,offic,6,5
1081,draught,1,7
1082,famish,1,6
1083,tomb,1,4
1084,cronk,1,5
1085,subject,4,7
1086,protect,1,7
1087,huntingman,1,10
1088,blab,1,4
1089,durst,1,5
1090,leav,10,4
1091,two,15,3
1092,restraint,1,9
1093,defil,1,5
1094,launc,1,5
1095,trial,1,5
1096,peter,1,5
1097,near,2,4
1098,undergoss,1,9
1099,compict,1,7
1100,post,2,4
1101,dismal,1,6
1102,woman,11,5
1103,wors,2,4
1104,shame,4,5
1105,foul,6,4
1106,worthi,2,6
1107,roman,2,5
1108,respect,4,7
1109,auvergn,1,7
1110,revel,1,5
1111,bethemlo,1,8
1112,raffet,1,6
1113,line,3,4
1114,stoni,1,5
1115,speech,3,6
1116,back,11,4
1117,tide,3,4
1118,falcon,1,6
1119,shrewsburi,1,10
1120,third,8,5
1121,christend,1,9
1122,sad,5,3
1123,inkind,1,6
1124,cousin,7,6
1125,whenc,1,5
