,Token,N_Ocorrencia,Length
335,petty,1,5
336,fortune,13,7
337,treacherous,1,11
338,allowance,1,9
339,executes,1,8
340,adder,1,5
341,horsessweet,1,11
342,maid,5,4
343,may,28,3
344,bisk,1,4
345,poor,21,4
346,used,3,4
347,undirected,1,10
348,breathe,2,7
349,truth,3,5
350,v,6,1
351,prays,1,5
352,orth,1,4
353,executioner,1,11
354,case,4,4
355,rust,2,4
356,unstayd,1,7
357,necessary,1,9
358,answerd,1,7
359,anger,1,5
360,godly,1,5
361,move,1,4
362,basely,1,6
363,longest,2,7
364,realm,3,5
365,conspired,1,9
366,outlive,2,7
367,farewell,5,8
368,happiness,2,9
369,dare,6,4
370,wroughtst,1,9
371,ballant,1,7
372,leave,9,5
373,seet,2,4
374,repose,2,6
375,straind,1,7
376,ample,1,5
377,embolling,1,9
378,pretty,1,6
379,leawer,1,6
380,troth,5,5
381,cast,2,4
382,beatrice,4,8
383,publius,1,7
384,crown,5,5
385,try,2,3
386,wheat,2,5
387,friar,1,5
388,armado,1,6
389,play,6,4
390,beholding,1,9
391,knoplesoldiers,1,14
392,side,2,4
393,shortly,1,7
394,stephano,2,8
395,tread,1,5
396,firmlyrots,1,10
397,cowardy,1,7
398,plague,1,6
399,feasted,1,7
400,wolcester,1,9
401,high,4,4
402,fury,3,4
403,taen,2,4
404,thaisa,1,6
405,trinculo,3,8
406,strange,4,7
407,sonend,1,6
408,grey,2,4
409,twelvemonth,1,11
410,butcher,1,7
411,imogen,3,6
412,pleaseth,1,8
413,compiction,1,10
414,protector,1,9
415,whose,19,5
416,win,1,3
417,twas,3,4
418,lodge,1,5
419,bertram,3,7
420,chain,3,5
421,sack,1,4
422,banquo,2,6
423,phoetician,1,10
424,body,8,4
425,form,1,4
426,upon,33,4
427,juno,1,4
428,sacreds,1,7
429,instant,1,7
430,vengeance,2,9
431,sunday,1,6
432,husband,19,7
433,us,2,2
434,chose,1,5
435,withers,1,7
436,fiend,1,5
437,camest,1,6
438,orland,1,6
439,costly,1,6
440,vast,1,4
441,unroaring,1,9
442,rapture,1,7
443,fled,3,4
444,snall,1,5
445,gambon,1,6
446,grave,3,5
447,salt,1,4
448,singular,1,8
449,volumnia,2,8
450,education,1,9
451,neris,1,5
452,sacred,2,6
453,bevis,1,5
454,befeen,1,6
455,dissembling,1,11
456,valianted,1,9
457,fie,3,3
458,sose,1,4
459,agent,1,5
460,took,5,4
461,yield,2,5
462,cinna,2,5
463,middle,1,6
464,hurt,1,4
465,doubtless,1,9
466,claim,1,5
467,jolt,1,4
468,entirely,1,8
469,romery,1,6
470,uncalld,1,7
471,astempt,1,7
472,coat,1,4
473,abhorrd,1,7
474,short,4,5
475,taking,1,6
476,icfortune,1,9
477,gladly,1,6
478,reasonable,3,10
479,leonine,1,7
480,thorough,1,8
481,faction,1,7
482,shrills,1,7
483,oclock,1,6
484,descript,1,8
485,melted,2,6
486,drum,2,4
487,named,1,5
488,sit,7,3
489,herd,1,4
490,taodless,1,8
491,remedy,2,6
492,cassio,2,6
493,fling,1,5
494,durish,1,6
495,toild,1,5
496,debtor,1,6
497,sportify,1,8
498,sweetlike,1,9
499,fellow,17,6
500,moment,2,6
501,kissing,1,7
502,debour,1,6
503,seemd,1,5
504,nether,1,6
505,burning,1,7
506,cymbeline,2,9
507,outraged,1,8
508,seem,11,4
509,secret,2,6
510,kneel,2,5
511,unlove,2,6
512,whet,1,4
513,bend,1,4
514,bad,3,3
515,coriolanus,8,10
516,gracious,3,8
517,rid,1,3
518,tybalt,1,6
519,river,1,5
520,many,13,4
521,submiss,1,7
522,fown,1,4
523,smock,1,5
524,overpreseld,1,11
525,directly,1,8
526,entertaind,1,10
527,impudent,1,8
528,shrift,1,6
529,warwick,5,7
530,undoublet,1,9
531,noised,1,6
532,maked,1,5
533,disfair,1,7
534,elderkin,1,8
535,worm,1,4
536,frond,1,5
537,appired,1,7
538,bow,1,3
539,lodging,2,7
540,washd,1,5
541,simplicity,1,10
542,fancy,3,5
543,habit,1,5
544,ephesus,1,7
545,jealousy,1,8
546,dauglas,1,7
547,tody,1,4
548,varro,1,5
549,amongst,1,7
550,parolles,1,8
551,chaft,1,5
552,swain,1,5
553,wedded,1,6
554,answered,1,8
555,pawn,1,4
556,rape,1,4
557,man,43,3
558,laying,1,6
559,tost,1,4
560,opinion,4,7
561,decree,2,6
562,summer,1,6
563,every,25,5
564,cassius,13,7
565,enamounce,1,9
566,office,2,6
567,avoid,1,5
568,naples,2,6
569,company,3,7
570,robe,1,4
571,property,1,8
572,deserving,1,9
573,thing,17,5
574,dish,3,4
575,peace,17,5
576,norfolk,9,7
577,deserved,2,8
578,poetry,1,6
579,falstaff,8,8
580,addition,1,8
581,lady,22,4
582,couchd,1,6
583,unwell,1,6
